PLAYER,GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
allPlayers,aj-green,6,HOU,3,0,0,0,0,0,1,0
allPlayers,aj-green,7,BKN,4,1,0,0,0,0,2,3
allPlayers,aj-green,8,NYK,0,0,0,0,0,0,0,0
allPlayers,aj-green,9,SAS,2,0,0,0,0,0,0,0
allPlayers,aj-green,10,HOU,0,0,0,0,0,0,0,0
allPlayers,aj-griffin,0,LAL,2,1,0,0,0,0,0,0
allPlayers,aj-griffin,1,GSW,2,0,0,0,0,0,0,0
allPlayers,aj-griffin,2,CLE,3,0,0,0,0,0,0,2
allPlayers,aj-griffin,3,WAS,5,1,0,0,0,0,0,0
allPlayers,aj-griffin,4,IND,4,0,0,0,0,1,0,2
allPlayers,aj-griffin,5,IND,7,0,0,2,0,0,0,3
allPlayers,aj-griffin,6,DEN,9,2,1,0,0,0,1,0
allPlayers,aj-griffin,7,CLE,15,1,0,0,0,0,1,0
allPlayers,aj-griffin,8,BOS,12,4,1,0,0,0,0,0
allPlayers,aj-griffin,9,WAS,6,0,0,0,0,0,0,6
allPlayers,aj-griffin,10,BKN,3,0,0,0,0,0,0,0
allPlayers,aj-lawson,0,MIN,15,2,1,0,0,1,2,3
allPlayers,aj-lawson,1,SAC,4,0,1,1,0,0,1,2
allPlayers,aj-lawson,2,PHO,5,1,1,0,0,0,0,3
allPlayers,aj-lawson,3,LAL,5,0,0,0,0,0,0,2
allPlayers,aj-lawson,4,NOR,14,1,0,0,0,1,1,3
allPlayers,aj-lawson,5,NOR,6,1,1,1,0,0,0,3
allPlayers,aj-lawson,6,MEM,5,2,0,0,0,0,1,3
allPlayers,aj-lawson,7,POR,25,5,2,2,2,0,5,14
allPlayers,aj-lawson,8,POR,8,0,0,0,1,0,1,3
allPlayers,aj-lawson,9,PHO,5,1,0,0,0,0,0,0
allPlayers,aj-lawson,10,SAS,31,7,3,1,2,0,2,17
allPlayers,al-horford,0,LAL,24,9,1,0,1,2,0,6
allPlayers,al-horford,1,NOR,36,8,4,0,0,1,1,11
allPlayers,al-horford,2,LAC,19,2,1,1,0,0,1,0
allPlayers,al-horford,3,MIA,23,7,6,1,0,1,2,8
allPlayers,al-horford,4,DAL,31,6,3,1,1,0,2,11
allPlayers,al-horford,5,DEN,27,10,2,0,0,0,3,6
allPlayers,al-horford,6,SAS,25,3,0,0,1,0,2,9
allPlayers,al-horford,7,TOR,35,11,2,1,1,0,3,10
allPlayers,al-horford,8,HOU,20,4,1,0,0,1,0,7
allPlayers,al-horford,9,MIN,38,8,5,1,0,0,3,9
allPlayers,al-horford,10,IND,32,6,0,1,0,1,1,11
allPlayers,alec-burks,0,LAC,21,2,1,1,1,1,0,6
allPlayers,alec-burks,1,CLE,30,4,6,2,0,1,2,11
allPlayers,alec-burks,2,OKC,26,6,2,3,3,0,1,10
allPlayers,alec-burks,3,WAS,18,4,0,0,0,0,1,8
allPlayers,alec-burks,4,CHA,26,0,1,0,0,0,1,15
allPlayers,alec-burks,5,MIL,28,2,3,1,0,0,4,9
allPlayers,alec-burks,6,MIL,30,7,6,0,1,0,2,33
allPlayers,alec-burks,7,MIN,20,1,1,0,2,0,1,12
allPlayers,alec-burks,8,WAS,29,2,2,1,0,0,2,34
allPlayers,alec-burks,9,HOU,30,0,1,2,0,2,3,19
allPlayers,alec-burks,10,SAS,20,2,2,1,0,0,1,15
allPlayers,aleksandar-vezenkov,0,ATL,
alperen-sengun-c,0,TOR,29,13,8,2,0,0,4,24
alperen-sengun-c,1,NOR,34,10,5,2,2,0,3,10
alperen-sengun-c,2,LAL,40,12,7,4,2,1,4,31
alperen-sengun-c,3,BKN,28,11,2,3,0,0,2,15
alperen-sengun-c,4,CHA,25,6,7,2,0,1,2,11
alperen-sengun-c,5,POR,40,10,8,2,1,0,5,30
alperen-sengun-c,6,BOS,36,12,10,6,1,0,2,24
alperen-sengun-c,7,UTH,42,14,6,1,1,1,4,37
alperen-sengun-c,8,NYK,40,10,5,3,1,4,3,18
alperen-sengun-c,9,PHI,30,9,6,5,1,2,1,19
alperen-sengun-c,10,BOS,24,10,3,3,4,0,3,19
amari-bailey,0,PHI,7,0,0,1,0,0,0,3
amari-bailey,1,NYK,3,2,0,0,0,0,0,2
amen-thompson,0,TOR,24,7,4,2,2,1,3,19
amen-thompson,1,NOR,17,6,0,0,1,0,3,10
amen-thompson,2,LAL,12,7,3,5,1,0,3,0
amen-thompson,3,BKN,15,4,2,2,3,2,3,5
amen-thompson,4,CHA,23,6,8,1,2,0,2,13
amen-thompson,5,POR,14,3,2,0,0,1,3,6
amen-thompson,6,BOS,32,14,5,2,1,0,3,15
amen-thompson,7,UTH,18,8,2,0,2,2,3,6
amen-thompson,8,NYK,10,1,1,0,1,2,2,4
amen-thompson,9,PHI,19,3,0,1,1,0,2,14
amen-thompson,10,BOS,25,10,3,4,3,0,0,10
amir-coffey,0,DET,24,4,0,1,4,1,0,14
amir-coffey,1,WAS,21,1,1,1,1,0,1,17
amir-coffey,2,CLE,27,1,1,0,1,0,1,13
amir-coffey,3,BOS,26,3,1,0,0,2,0,10
amir-coffey,4,TOR,19,2,2,1,0,0,6,5
amir-coffey,5,LAL,24,2,0,0,1,0,2,9
amir-coffey,6,BKN,15,1,1,0,1,0,2,5
amir-coffey,7,OKC,16,3,0,0,0,0,2,9
amir-coffey,8,MIN,9,1,0,1,1,0,0,0
amir-coffey,9,MEM,26,2,1,1,2,0,0,13
amir-coffey,10,TOR,18,1,1,0,1,0,1,6
andre-drummond,0,CHA,15,8,1,0,0,0,2,10
andre-drummond,1,TOR,14,7,0,0,1,1,0,7
andre-drummond,2,POR,17,7,0,0,1,1,3,15
andre-drummond,3,LAL,17,9,1,1,1,0,0,11
andre-drummond,4,PHO,11,5,0,1,0,0,0,6
